,datetime,temp,humid,precip,precip_form,windspd
0,2021-01-01-00, -8.100000 , 59.000000 , 0.000000 ,0.0, 0.400000 
1,2021-01-01-01, -5.500000 , 49.000000 , 0.000000 ,0.0, 0.400000 
2,2021-01-01-02, -3.500000 , 45.000000 , 0.000000 ,0.0, 1.100000 
3,2021-01-01-03, -2.200000 , 42.000000 , 0.000000 ,0.0, 1.400000 
4,2021-01-01-04, -1.000000 , 41.000000 , 0.000000 ,0.0, 0.600000 
5,2021-01-01-05, 0.200000 , 31.000000 , 0.000000 ,0.0, 4.600000 
6,2021-01-01-06, -0.400000 , 35.000000 , 0.000000 ,0.0, 3.300000 
7,2021-01-01-07, -1.300000 , 41.000000 , 0.000000 ,0.0, 1.900000 
8,2021-01-01-08, -3.300000 , 51.000000 , 0.000000 ,0.0, 0.700000 
9,2021-01-01-09, -5.100000 , 59.000000 , 0.000000 ,0.0, 1.100000 
10,2021-01-01-10, -5.700000 , 65.000000 , 0.000000 ,0.0, 0.800000 
11,2021-01-01-11, -5.200000 , 66.000000 , 0.000000 ,0.0, 1.000000 
12,2021-01-01-12, -5.300000 , 69.000000 , 0.000000 ,0.0, 0.700000 
13,2021-01-01-13, -4.600000 , 63.000000 , 0.000000 ,0.0, 1.300000 
14,2021-01-01-14, -3.700000 , 33.000000 , 0.000000 ,0.0, 1.300000 
15,2021-01-01-15, -6.000000 , 41.000000 , 0.000000 ,0.0, 0.800000 
16,2021-01-01-16, -5.600000 , 39.000000 , 0.000000 ,0.0, 1.400000 
17,2021-01-01-17, -5.100000 , 28.000000 , 0.000000 ,0.0, 2.500000 
18,2021-01-01-18, -5.400000 , 24.000000 , 0.000000 ,0.0, 2.000000 
19,2021-01-01-19, -6.200000 , 24.000000 , 0.000000 ,0.0, 1.600000 
20,2021-01-01-20, -7.400000 , 27.000000 , 0.000000 ,0.0, 1.900000 
21,2021-01-01-21, -10.000000 , 40.000000 , 0.000000 ,0.0, 0.900000 
22,2021-01-01-22, -11.700000 , 56.000000 , 0.000000 ,0.0, 0.800000 
23,2021-01-01-23, -8.300000 , 49.000000 , 0.000000 ,0.0, 1.200000 
24,2021-01-02-00, -6.000000 , 38.000000 , 0.000000 ,0.0, 1.000000 
25,2021-01-02-01, -4.600000 , 26.000000 , 0.000000 ,0.0, 1.000000 
26,2021-01-02-02, -3.200000 , 23.000000 , 0.000000 ,0.0, 1.800000 
27,2021-01-02-03, -1.700000 , 22.000000 , 0.000000 ,0.0, 2.600000 
28,2021-01-02-04, -1.300000 , 18.000000 , 0.000000 ,0.0, 3.800000 
29,2021-01-02-05, -1.000000 , 19.000000 , 0.000000 ,0.0, 2.400000 
30,2021-01-02-06, -1.600000 , 23.000000 , 0.000000 ,0.0, 2.300000 
31,2021-01-02-07, -3.000000 , 27.000000 , 0.000000 ,0.0, 3.300000 
32,2021-01-02-08, -3.800000 , 30.000000 , 0.000000 ,0.0, 1.600000 
33,2021-01-02-09, -6.600000 , 43.000000 , 0.000000 ,0.0, 1.400000 
34,2021-01-02-10, -7.900000 , 47.000000 , 0.000000 ,0.0, 1.300000 
35,2021-01-02-11, -8.800000 , 51.000000 , 0.000000 ,0.0, 0.900000 
36,2021-01-02-12, -9.000000 , 51.000000 , 0.000000 ,0.0, 0.800000 
37,2021-01-02-13, -9.300000 , 52.000000 , 0.000000 ,0.0, 1.000000 
38,2021-01-02-14, -10.000000 , 55.000000 , 0.000000 ,0.0, 0.500000 
39,2021-01-02-15, -10.400000 , 59.000000 , 0.000000 ,0.0, 0.900000 
40,2021-01-02-16, -11.800000 , 63.000000 , 0.000000 ,0.0, 0.200000 
41,2021-01-02-17, -11.300000 , 57.000000 , 0.000000 ,0.0, 1.600000 
42,2021-01-02-18, -9.200000 , 44.000000 , 0.000000 ,0.0, 1.500000 
43,2021-01-02-19, -12.100000 , 63.000000 , 0.000000 ,0.0, 0.300000 
44,2021-01-02-20, -13.400000 , 68.000000 , 0.000000 ,0.0, 0.100000 
45,2021-01-02-21, -14.000000 , 71.000000 , 0.000000 ,0.0, 0.700000 
46,2021-01-02-22, -14.200000 , 74.000000 , 0.000000 ,0.0, 0.400000 
47,2021-01-02-23, -10.000000 , 66.000000 , 0.000000 ,0.0, 0.100000 
48,2021-01-03-00, -6.700000 , 44.000000 , 0.000000 ,0.0, 0.600000 
49,2021-01-03-01, -5.100000 , 39.000000 , 0.000000 ,0.0, 0.600000 
50,2021-01-03-02, -3.800000 , 34.000000 , 0.000000 ,0.0, 1.700000 
51,2021-01-03-03, -1.600000 , 28.000000 , 0.000000 ,0.0, 2.900000 
52,2021-01-03-04, -1.200000 , 25.000000 , 0.000000 ,0.0, 1.700000 
53,2021-01-03-05, -1.300000 , 27.000000 , 0.000000 ,0.0, 3.600000 
54,2021-01-03-06, -1.600000 , 28.000000 , 0.000000 ,0.0, 1.300000 
55,2021-01-03-07, -2.500000 , 30.000000 , 0.000000 ,0.0, 1.200000 
56,2021-01-03-08, -5.100000 , 39.000000 , 0.000000 ,0.0, 1.300000 
57,2021-01-03-09, -6.900000 , 49.000000 , 0.000000 ,0.0, 0.700000 
58,2021-01-03-10, -8.000000 , 57.000000 , 0.000000 ,0.0, 0.600000 
59,2021-01-03-11, -8.000000 , 54.000000 , 0.000000 ,0.0, 1.400000 
60,2021-01-03-12, -8.800000 , 58.000000 , 0.000000 ,0.0, 1.500000 
61,2021-01-03-13, -9.000000 , 61.000000 , 0.000000 ,0.0, 1.000000 
62,2021-01-03-14, -10.000000 , 64.000000 , 0.000000 ,0.0, 0.500000 
63,2021-01-03-15, -10.500000 , 65.000000 , 0.000000 ,0.0, 1.400000 
64,2021-01-03-16, -11.800000 , 71.000000 , 0.000000 ,0.0, 0.600000 
65,2021-01-03-17, -12.200000 , 75.000000 , 0.000000 ,0.0, 0.500000 
66,2021-01-03-18, -12.700000 , 78.000000 , 0.000000 ,0.0, 0.300000 
67,2021-01-03-19, -13.300000 , 79.000000 , 0.000000 ,0.0, 0.400000 
68,2021-01-03-20, -13.800000 , 80.000000 , 0.000000 ,0.0, 0.500000 
69,2021-01-03-21, -14.100000 , 82.000000 , 0.000000 ,0.0, 0.100000 
70,2021-01-03-22, -13.700000 , 83.000000 , 0.000000 ,0.0, 0.600000 
71,2021-01-03-23, -11.000000 , 76.000000 , 0.000000 ,0.0, 0.400000 
72,2021-01-04-00, -8.000000 , 58.000000 , 0.000000 ,0.0, 0.600000 
73,2021-01-04-01, -5.500000 , 47.000000 , 0.000000 ,0.0, 0.400000 
74,2021-01-04-02, -3.800000 , 37.000000 , 0.000000 ,0.0, 1.100000 
75,2021-01-04-03, -2.600000 , 31.000000 , 0.000000 ,0.0, 0.900000 
76,2021-01-04-04, -1.600000 , 28.000000 , 0.000000 ,0.0, 0.500000 
77,2021-01-04-05, -1.000000 , 26.000000 , 0.000000 ,0.0, 0.600000 
78,2021-01-04-06, -0.900000 , 27.000000 , 0.000000 ,0.0, 0.800000 
79,2021-01-04-07, -1.200000 , 32.000000 , 0.000000 ,0.0, 0.600000 
80,2021-01-04-08, -2.300000 , 37.000000 , 0.000000 ,0.0, 1.100000 
81,2021-01-04-09, -2.600000 , 43.000000 , 0.000000 ,0.0, 0.000000 
82,2021-01-04-10, -2.600000 , 47.000000 , 0.000000 ,0.0, 0.300000 
83,2021-01-04-11, -1.700000 , 57.000000 , 0.000000 ,0.0, 1.300000 
84,2021-01-04-12, -2.900000 , 76.000000 , 0.000000 ,3.0, 1.200000 
85,2021-01-04-13, -3.700000 , 89.000000 , 0.200000 ,3.0, 0.600000 
86,2021-01-04-14, -3.900000 , 92.000000 , 0.100000 ,3.0, 0.400000 
87,2021-01-04-15, -4.400000 , 94.000000 , 0.100000 ,0.0, 0.800000 
88,2021-01-04-16, -5.000000 , 96.000000 , 0.000000 ,3.0, 0.200000 
89,2021-01-04-17, -5.900000 , 95.000000 , 0.000000 ,3.0, 0.400000 
90,2021-01-04-18, -6.800000 , 96.000000 , 0.000000 ,0.0, 1.000000 
91,2021-01-04-19, -6.800000 , 95.000000 , 0.000000 ,0.0, 0.300000 
92,2021-01-04-20, -8.200000 , 94.000000 , 0.000000 ,0.0, 0.400000 
93,2021-01-04-21, -8.900000 , 94.000000 , 0.000000 ,0.0, 0.800000 
94,2021-01-04-22, -9.700000 , 95.000000 , 0.000000 ,0.0, 0.600000 
95,2021-01-04-23, -5.200000 , 51.000000 , 0.000000 ,0.0, 2.400000 
96,2021-01-05-00, -4.200000 , 34.000000 , 0.000000 ,0.0, 2.400000 
97,2021-01-05-01, -3.500000 , 39.000000 , 0.000000 ,0.0, 1.400000 
98,2021-01-05-02, -3.100000 , 32.000000 , 0.000000 ,0.0, 2.300000 
99,2021-01-05-03, -2.500000 , 25.000000 , 0.000000 ,0.0, 2.300000 
100,2021-01-05-04, -2.500000 , 20.000000 , 0.000000 ,0.0, 2.500000 
101,2021-01-05-05, -1.800000 , 21.000000 , 0.000000 ,0.0, 1.600000 
102,2021-01-05-06, -2.800000 , 20.000000 , 0.000000 ,0.0, 1.700000 
103,2021-01-05-07, -4.400000 , 24.000000 , 0.000000 ,0.0, 1.600000 
104,2021-01-05-08, -6.200000 , 31.000000 , 0.000000 ,0.0, 1.100000 
105,2021-01-05-09, -7.500000 , 39.000000 , 0.000000 ,0.0, 0.700000 
106,2021-01-05-10, -9.500000 , 50.000000 , 0.000000 ,0.0, 0.300000 
107,2021-01-05-11, -10.100000 , 56.000000 , 0.000000 ,0.0, 0.300000 
108,2021-01-05-12, -10.600000 , 60.000000 , 0.000000 ,0.0, 0.600000 
109,2021-01-05-13, -12.300000 , 68.000000 , 0.000000 ,0.0, 0.300000 
110,2021-01-05-14, -13.400000 , 71.000000 , 0.000000 ,0.0, 0.400000 
111,2021-01-05-15, -14.300000 , 73.000000 , 0.000000 ,0.0, 0.000000 
112,2021-01-05-16, -14.600000 , 70.000000 , 0.000000 ,0.0, 0.400000 
113,2021-01-05-17, -15.500000 , 76.000000 , 0.000000 ,0.0, 0.400000 
114,2021-01-05-18, -15.400000 , 76.000000 , 0.000000 ,0.0, 0.500000 
115,2021-01-05-19, -16.000000 , 79.000000 , 0.000000 ,0.0, 0.000000 
116,2021-01-05-20, -17.000000 , 81.000000 , 0.000000 ,0.0, 0.600000 
117,2021-01-05-21, -16.600000 , 84.000000 , 0.000000 ,0.0, 0.900000 
118,2021-01-05-22, -17.000000 , 83.000000 , 0.000000 ,0.0, 0.300000 
119,2021-01-05-23, -14.100000 , 80.000000 , 0.000000 ,0.0, 0.300000 
120,2021-01-06-00, -11.000000 , 68.000000 , 0.000000 ,0.0, 0.500000 
121,2021-01-06-01, -8.900000 , 51.000000 , 0.000000 ,0.0, 0.800000 
122,2021-01-06-02, -7.500000 , 40.000000 , 0.000000 ,0.0, 1.200000 
123,2021-01-06-03, -6.300000 , 31.000000 , 0.000000 ,0.0, 1.600000 
124,2021-01-06-04, -4.900000 , 26.000000 , 0.000000 ,0.0, 0.800000 
125,2021-01-06-05, -4.400000 , 23.000000 , 0.000000 ,0.0, 1.900000 
126,2021-01-06-06, -3.900000 , 22.000000 , 0.000000 ,0.0, 1.700000 
127,2021-01-06-07, -4.900000 , 23.000000 , 0.000000 ,0.0, 2.000000 
128,2021-01-06-08, -7.300000 , 34.000000 , 0.000000 ,0.0, 1.200000 
129,2021-01-06-09, -6.900000 , 36.000000 , 0.000000 ,0.0, 0.200000 
130,2021-01-06-10, -5.400000 , 40.000000 , 0.000000 ,0.0, 3.900000 
131,2021-01-06-11, -7.500000 , 84.000000 , 0.100000 ,3.0, 2.400000 
132,2021-01-06-12, -7.500000 , 93.000000 , 0.800000 ,3.0, 0.700000 
133,2021-01-06-13, -7.700000 , 93.000000 , 0.200000 ,3.0, 0.500000 
134,2021-01-06-14, -7.500000 , 94.000000 , 0.200000 ,3.0, 1.200000 
135,2021-01-06-15, -8.600000 , 77.000000 , 0.200000 ,3.0, 3.200000 
136,2021-01-06-16, -10.300000 , 51.000000 , 0.000000 ,0.0, 2.100000 
137,2021-01-06-17, -12.400000 , 35.000000 , 0.000000 ,0.0, 6.700000 
138,2021-01-06-18, -14.100000 , 33.000000 , 0.000000 ,0.0, 4.900000 
139,2021-01-06-19, -15.400000 , 40.000000 , 0.000000 ,0.0, 4.400000 
140,2021-01-06-20, -16.900000 , 47.000000 , 0.000000 ,0.0, 3.400000 
141,2021-01-06-21, -17.299999 , 50.000000 , 0.000000 ,0.0, 0.800000 
142,2021-01-06-22, -18.000000 , 55.000000 , 0.000000 ,0.0, 0.400000 
143,2021-01-06-23, -17.799999 , 54.000000 , 0.000000 ,0.0, 1.600000 
144,2021-01-07-00, -15.700000 , 46.000000 , 0.000000 ,0.0, 1.900000 
145,2021-01-07-01, -14.700000 , 45.000000 , 0.000000 ,0.0, 2.900000 
146,2021-01-07-02, -13.200000 , 42.000000 , 0.000000 ,0.0, 3.800000 
147,2021-01-07-03, -12.200000 , 32.000000 , 0.000000 ,0.0, 2.300000 
148,2021-01-07-04, -12.100000 , 29.000000 , 0.000000 ,0.0, 1.400000 
149,2021-01-07-05, -12.000000 , 30.000000 , 0.000000 ,0.0, 2.300000 
150,2021-01-07-06, -12.400000 , 32.000000 , 0.000000 ,0.0, 4.100000 
151,2021-01-07-07, -13.400000 , 32.000000 , 0.000000 ,0.0, 2.800000 
152,2021-01-07-08, -14.200000 , 31.000000 , 0.000000 ,0.0, 1.900000 
153,2021-01-07-09, -17.100000 , 48.000000 , 0.000000 ,0.0, 0.500000 
154,2021-01-07-10, -17.200001 , 51.000000 , 0.000000 ,0.0, 1.100000 
155,2021-01-07-11, -17.400000 , 48.000000 , 0.000000 ,0.0, 0.500000 
156,2021-01-07-12, -18.500000 , 55.000000 , 0.000000 ,0.0, 1.300000 
157,2021-01-07-13, -17.500000 , 41.000000 , 0.000000 ,0.0, 1.200000 
158,2021-01-07-14, -17.799999 , 39.000000 , 0.000000 ,0.0, 0.600000 
159,2021-01-07-15, -19.500000 , 60.000000 , 0.000000 ,0.0, 0.600000 
160,2021-01-07-16, -20.700001 , 65.000000 , 0.000000 ,0.0, 0.500000 
161,2021-01-07-17, -20.500000 , 64.000000 , 0.000000 ,0.0, 0.800000 
162,2021-01-07-18, -20.400000 , 62.000000 , 0.000000 ,0.0, 0.700000 
163,2021-01-07-19, -21.500000 , 71.000000 , 0.000000 ,0.0, 0.400000 
164,2021-01-07-20, -21.600000 , 65.000000 , 0.000000 ,0.0, 1.000000 
165,2021-01-07-21, -21.700001 , 64.000000 , 0.000000 ,0.0, 0.500000 
166,2021-01-07-22, -21.900000 , 66.000000 , 0.000000 ,0.0, 0.900000 
167,2021-01-07-23, -18.400000 , 49.000000 , 0.000000 ,0.0, 0.000000 
168,2021-01-08-00, -17.299999 , 40.000000 , 0.000000 ,0.0, 1.500000 
169,2021-01-08-01, -15.700000 , 39.000000 , 0.000000 ,0.0, 1.400000 
170,2021-01-08-02, -14.200000 , 35.000000 , 0.000000 ,0.0, 1.200000 
171,2021-01-08-03, -12.200000 , 33.000000 , 0.000000 ,0.0, 0.900000 
172,2021-01-08-04, -11.400000 , 26.000000 , 0.000000 ,0.0, 3.300000 
173,2021-01-08-05, -11.000000 , 26.000000 , 0.000000 ,0.0, 3.100000 
174,2021-01-08-06, -11.400000 , 27.000000 , 0.000000 ,0.0, 3.500000 
175,2021-01-08-07, -12.700000 , 31.000000 , 0.000000 ,0.0, 3.400000 
176,2021-01-08-08, -13.600000 , 34.000000 , 0.000000 ,0.0, 0.500000 
177,2021-01-08-09, -15.500000 , 45.000000 , 0.000000 ,0.0, 0.900000 
178,2021-01-08-10, -17.000000 , 53.000000 , 0.000000 ,0.0, 1.000000 
179,2021-01-08-11, -18.200001 , 62.000000 , 0.000000 ,0.0, 0.400000 
180,2021-01-08-12, -18.700001 , 62.000000 , 0.000000 ,0.0, 0.300000 
181,2021-01-08-13, -19.500000 , 67.000000 , 0.000000 ,0.0, 0.900000 
182,2021-01-08-14, -19.700001 , 69.000000 , 0.000000 ,0.0, 0.500000 
183,2021-01-08-15, -19.799999 , 74.000000 , 0.000000 ,0.0, 0.900000 
184,2021-01-08-16, -19.700001 , 72.000000 , 0.000000 ,0.0, 1.100000 
185,2021-01-08-17, -20.100000 , 70.000000 , 0.000000 ,0.0, 1.000000 
